Scan/Alignment Number,Scan/Alignment M/Z,Adduct,Antibase Chemical Formula,Antibase Molecular Weight,PPM,RT
['18541'],[635.3348],['Ion_Mass_M+Na'],C24H44N12O7,612.3455918056,[2.8331519174207374e-08],[None]
['18481'],[633.327],['Ion_Mass_M+H'],C34H48O11,632.31966235452,[3.7895115877094553e-08],[None]
['14572'],[514.2565],['Ion_Mass_M+H'],C25H40N1O8P1,513.24915387408,[4.666931762535977e-08],[None]
['20373'],[696.3718],['Ion_Mass_M+Na'],C37H55N1O10,673.3825969642501,[2.584826087810329e-08],[None]
['7684'],[375.2014],['Ion_Mass_M+H'],C18H30O8,374.19406791858,[6.396564617362634e-08],[None]
['2551'],[278.0983],['Ion_Mass_M+H'],C9H15N3O7,277.09099983237,[8.6300419658262e-08],[None]
['11079'],[439.1476],['Ion_Mass_M+Na'],C21H24N2O7,416.15835111620004,[4.0988496832039586e-08],[None]
['6102'],[345.1434],['Ion_Mass_M+Na'],C17H18N6O1,322.1542092256201,[5.2152235886294766e-08],[None]
['19516'],[663.3728],['Ion_Mass_M+Na'],C35H52N4O7,640.38360002376,[2.71340640861989e-08],[None]
['12036'],[457.1217],['Ion_Mass_M+Na'],C20H22N2O9,434.13253029118,[3.937682243349591e-08],[None]
['12647'],[469.1646],['Ion_Mass_M+H'],C29H24O6,468.15728848704003,[5.115475463461916e-08],[None]
['17682'],[605.3698],['Ion_Mass_M+H'],C35H48N4O5,604.36247065636,[3.964518886322486e-08],[None]
['19652'],[667.3054],['Ion_Mass_M+H'],C44H42O6,666.2981390643,[3.596554132396625e-08],[None]
